Setting,Model,Fold,MacroF1,Accuracy
Hazard-Neutral,DecisionTree,0,0.41659179395028456,0.6266666666666667
Hazard-Neutral,DecisionTree,1,0.4472723685508533,0.7066666666666667
Hazard-Neutral,DecisionTree,2,0.553831417624521,0.7466666666666667
Hazard-Neutral,DecisionTree,3,0.46913580246913583,0.7866666666666666
Hazard-Neutral,DecisionTree,4,0.5272303750291172,0.6891891891891891
Hazard-Neutral,DecisionTree,5,0.5273585273585274,0.7333333333333333
Hazard-Neutral,DecisionTree,6,0.4632034632034632,0.7066666666666667
Hazard-Neutral,DecisionTree,7,0.4755735492577598,0.72
Hazard-Neutral,DecisionTree,8,0.6242474001094691,0.8266666666666667
Hazard-Neutral,DecisionTree,9,0.4294871794871795,0.7567567567567568
Hazard-Neutral,DecisionTree,10,0.5790771281026154,0.7733333333333333
Hazard-Neutral,DecisionTree,11,0.4677274677274677,0.68
Hazard-Neutral,DecisionTree,12,0.3666245259165613,0.6666666666666666
Hazard-Neutral,DecisionTree,13,0.553092858177604,0.7733333333333333
Hazard-Neutral,DecisionTree,14,0.5488079172289698,0.8108108108108109
Hazard-Neutral,DecisionTree,15,0.5,0.6933333333333334
Hazard-Neutral,DecisionTree,16,0.5289052069425901,0.72
Hazard-Neutral,DecisionTree,17,0.45331720104859846,0.76
Hazard-Neutral,DecisionTree,18,0.478743961352657,0.72
Hazard-Neutral,DecisionTree,19,0.4043756145526057,0.6756756756756757
Hazard-Neutral,DecisionTree,20,0.634326167659501,0.7866666666666666
Hazard-Neutral,DecisionTree,21,0.5595355152877276,0.7866666666666666
Hazard-Neutral,DecisionTree,22,0.36313131313131314,0.6933333333333334
Hazard-Neutral,DecisionTree,23,0.4921652421652422,0.7333333333333333
Hazard-Neutral,DecisionTree,24,0.42884990253411304,0.7297297297297297
Hazard-Neutral,RandomForest,0,0.48179271708683474,0.7733333333333333
Hazard-Neutral,RandomForest,1,0.5438512105178771,0.76
Hazard-Neutral,RandomForest,2,0.6136004857316333,0.8133333333333334
Hazard-Neutral,RandomForest,3,0.5028985507246376,0.8133333333333334
Hazard-Neutral,RandomForest,4,0.665266106442577,0.8513513513513513
Hazard-Neutral,RandomForest,5,0.6155172413793103,0.8266666666666667
Hazard-Neutral,RandomForest,6,0.597953216374269,0.8
Hazard-Neutral,RandomForest,7,0.6426666666666666,0.8666666666666667
Hazard-Neutral,RandomForest,8,0.6489285271893968,0.8133333333333334
Hazard-Neutral,RandomForest,9,0.3613369467028004,0.7432432432432432
Hazard-Neutral,RandomForest,10,0.6515351139857068,0.8666666666666667
Hazard-Neutral,RandomForest,11,0.6672131147540984,0.84
Hazard-Neutral,RandomForest,12,0.4182336182336182,0.7333333333333333
Hazard-Neutral,RandomForest,13,0.598136645962733,0.8266666666666667
Hazard-Neutral,RandomForest,14,0.4975206611570248,0.8108108108108109
Hazard-Neutral,RandomForest,15,0.6511784511784512,0.84
Hazard-Neutral,RandomForest,16,0.5748544531153227,0.8
Hazard-Neutral,RandomForest,17,0.5333333333333333,0.8533333333333334
Hazard-Neutral,RandomForest,18,0.5074718125565583,0.76
Hazard-Neutral,RandomForest,19,0.538401559454191,0.7837837837837838
Hazard-Neutral,RandomForest,20,0.7157088122605364,0.8666666666666667
Hazard-Neutral,RandomForest,21,0.569151138716356,0.8133333333333334
Hazard-Neutral,RandomForest,22,0.5600077429345722,0.8133333333333334
Hazard-Neutral,RandomForest,23,0.554040404040404,0.7866666666666666
Hazard-Neutral,RandomForest,24,0.5824915824915825,0.8108108108108109
Hazard-Neutral,LogisticRegression,0,0.49104395604395606,0.72
Hazard-Neutral,LogisticRegression,1,0.46851984982826106,0.6666666666666666
Hazard-Neutral,LogisticRegression,2,0.4466630321203035,0.6933333333333334
Hazard-Neutral,LogisticRegression,3,0.5730851011224843,0.7466666666666667
Hazard-Neutral,LogisticRegression,4,0.5255731922398589,0.7027027027027027
Hazard-Neutral,LogisticRegression,5,0.6216216216216216,0.7866666666666666
Hazard-Neutral,LogisticRegression,6,0.5223773720014321,0.6533333333333333
Hazard-Neutral,LogisticRegression,7,0.5380262249827467,0.7466666666666667
Hazard-Neutral,LogisticRegression,8,0.49989989989989986,0.7066666666666667
Hazard-Neutral,LogisticRegression,9,0.3718568066394153,0.7162162162162162
Hazard-Neutral,LogisticRegression,10,0.5720720720720721,0.7866666666666666
Hazard-Neutral,LogisticRegression,11,0.41007532956685505,0.7066666666666667
Hazard-Neutral,LogisticRegression,12,0.42582582582582584,0.6933333333333334
Hazard-Neutral,LogisticRegression,13,0.47191697191697185,0.6533333333333333
Hazard-Neutral,LogisticRegression,14,0.5679012345679012,0.7567567567567568
Hazard-Neutral,LogisticRegression,15,0.5172413793103449,0.72
Hazard-Neutral,LogisticRegression,16,0.6038647342995169,0.7866666666666666
Hazard-Neutral,LogisticRegression,17,0.5916666666666667,0.7733333333333333
Hazard-Neutral,LogisticRegression,18,0.49266247379454925,0.6933333333333334
Hazard-Neutral,LogisticRegression,19,0.48472248472248475,0.7027027027027027
Hazard-Neutral,LogisticRegression,20,0.5692789968652038,0.76
Hazard-Neutral,LogisticRegression,21,0.5662346488034561,0.72
Hazard-Neutral,LogisticRegression,22,0.44477861319966583,0.72
Hazard-Neutral,LogisticRegression,23,0.5582441157662397,0.7466666666666667
Hazard-Neutral,LogisticRegression,24,0.5573192239858906,0.7702702702702703
Hazard-Neutral,RidgeClassifier,0,0.5571450600808987,0.6933333333333334
Hazard-Neutral,RidgeClassifier,1,0.4948093977220191,0.68
Hazard-Neutral,RidgeClassifier,2,0.4524725274725275,0.68
Hazard-Neutral,RidgeClassifier,3,0.5261487050960735,0.7066666666666667
Hazard-Neutral,RidgeClassifier,4,0.4880066170388751,0.6486486486486487
Hazard-Neutral,RidgeClassifier,5,0.6296134491853147,0.7866666666666666
Hazard-Neutral,RidgeClassifier,6,0.5375678159183314,0.6666666666666666
Hazard-Neutral,RidgeClassifier,7,0.5026115859449193,0.68
Hazard-Neutral,RidgeClassifier,8,0.4841049382716049,0.6933333333333334
Hazard-Neutral,RidgeClassifier,9,0.4899514899514899,0.7027027027027027
Hazard-Neutral,RidgeClassifier,10,0.5931313131313131,0.7733333333333333
Hazard-Neutral,RidgeClassifier,11,0.4298245614035088,0.68
Hazard-Neutral,RidgeClassifier,12,0.3924501424501425,0.64
Hazard-Neutral,RidgeClassifier,13,0.49615384615384617,0.68
Hazard-Neutral,RidgeClassifier,14,0.5771428571428571,0.7297297297297297
Hazard-Neutral,RidgeClassifier,15,0.5146723646723647,0.6933333333333334
Hazard-Neutral,RidgeClassifier,16,0.5488095238095237,0.7733333333333333
Hazard-Neutral,RidgeClassifier,17,0.6380364863439839,0.7733333333333333
Hazard-Neutral,RidgeClassifier,18,0.4245564892623716,0.6
Hazard-Neutral,RidgeClassifier,19,0.4350834350834351,0.6486486486486487
Hazard-Neutral,RidgeClassifier,20,0.6616504854368932,0.7733333333333333
Hazard-Neutral,RidgeClassifier,21,0.5214133178023684,0.64
Hazard-Neutral,RidgeClassifier,22,0.4694749694749694,0.72
Hazard-Neutral,RidgeClassifier,23,0.4432766099432766,0.6666666666666666
Hazard-Neutral,RidgeClassifier,24,0.4811728395061728,0.6756756756756757
Hazard-Neutral,LinearSVC,0,0.4489838302922415,0.6533333333333333
Hazard-Neutral,LinearSVC,1,0.4959207459207459,0.68
Hazard-Neutral,LinearSVC,2,0.4219801830421299,0.6533333333333333
Hazard-Neutral,LinearSVC,3,0.5050684863768976,0.68
Hazard-Neutral,LinearSVC,4,0.38490566037735857,0.6216216216216216
Hazard-Neutral,LinearSVC,5,0.598805883209553,0.76
Hazard-Neutral,LinearSVC,6,0.509617088564457,0.64
Hazard-Neutral,LinearSVC,7,0.49853113983548764,0.6933333333333334
Hazard-Neutral,LinearSVC,8,0.4798622514139756,0.6933333333333334
Hazard-Neutral,LinearSVC,9,0.4514018907611585,0.7027027027027027
Hazard-Neutral,LinearSVC,10,0.6565002249212776,0.8133333333333334
Hazard-Neutral,LinearSVC,11,0.44017094017094016,0.72
Hazard-Neutral,LinearSVC,12,0.41494648318042815,0.68
Hazard-Neutral,LinearSVC,13,0.5056281771968046,0.6933333333333334
Hazard-Neutral,LinearSVC,14,0.5770404984423676,0.7432432432432432
Hazard-Neutral,LinearSVC,15,0.5011223344556678,0.6933333333333334
Hazard-Neutral,LinearSVC,16,0.5536358102729784,0.7733333333333333
Hazard-Neutral,LinearSVC,17,0.6665886665886666,0.8
Hazard-Neutral,LinearSVC,18,0.46094491927825265,0.6666666666666666
Hazard-Neutral,LinearSVC,19,0.4531746031746032,0.6756756756756757
Hazard-Neutral,LinearSVC,20,0.5368521665250637,0.72
Hazard-Neutral,LinearSVC,21,0.5391636141636141,0.6666666666666666
Hazard-Neutral,LinearSVC,22,0.4299361430395913,0.6933333333333334
Hazard-Neutral,LinearSVC,23,0.4942173526244322,0.72
Hazard-Neutral,LinearSVC,24,0.5778135335657459,0.7972972972972973
Hazard-Neutral,XGBoost,0,0.4611111111111111,0.7733333333333333
Hazard-Neutral,XGBoost,1,0.5756900726392252,0.8
Hazard-Neutral,XGBoost,2,0.618668711852491,0.8133333333333334
Hazard-Neutral,XGBoost,3,0.48576097105508875,0.7866666666666666
Hazard-Neutral,XGBoost,4,0.6168951791242813,0.8378378378378378
Hazard-Neutral,XGBoost,5,0.6203703703703703,0.8266666666666667
Hazard-Neutral,XGBoost,6,0.5473833715721621,0.76
Hazard-Neutral,XGBoost,7,0.6229804607757364,0.8533333333333334
Hazard-Neutral,XGBoost,8,0.5925810904071773,0.8133333333333334
Hazard-Neutral,XGBoost,9,0.3412698412698412,0.7027027027027027
Hazard-Neutral,XGBoost,10,0.7815863553568473,0.9066666666666666
Hazard-Neutral,XGBoost,11,0.5734767025089605,0.8133333333333334
Hazard-Neutral,XGBoost,12,0.43381642512077295,0.76
Hazard-Neutral,XGBoost,13,0.6248847926267281,0.84
Hazard-Neutral,XGBoost,14,0.4969187675070028,0.7972972972972973
Hazard-Neutral,XGBoost,15,0.611111111111111,0.8
Hazard-Neutral,XGBoost,16,0.6595462824971022,0.8666666666666667
Hazard-Neutral,XGBoost,17,0.5540495867768594,0.88
Hazard-Neutral,XGBoost,18,0.5378022650749924,0.7866666666666666
Hazard-Neutral,XGBoost,19,0.5539157811885085,0.7972972972972973
Hazard-Neutral,XGBoost,20,0.71941251596424,0.8666666666666667
Hazard-Neutral,XGBoost,21,0.5346100759144238,0.7866666666666666
Hazard-Neutral,XGBoost,22,0.5897566137566138,0.8533333333333334
Hazard-Neutral,XGBoost,23,0.4572463768115942,0.76
Hazard-Neutral,XGBoost,24,0.5252525252525252,0.8378378378378378
Hazard-Inclusive,DecisionTree,0,0.5420378904249872,0.7333333333333333
Hazard-Inclusive,DecisionTree,1,0.6083333333333334,0.8266666666666667
Hazard-Inclusive,DecisionTree,2,0.6762962962962963,0.8266666666666667
Hazard-Inclusive,DecisionTree,3,0.8089433915520873,0.92
Hazard-Inclusive,DecisionTree,4,0.7119410380279945,0.8783783783783784
Hazard-Inclusive,DecisionTree,5,0.669047619047619,0.8266666666666667
Hazard-Inclusive,DecisionTree,6,0.5031928480204342,0.76
Hazard-Inclusive,DecisionTree,7,0.6911166805903649,0.8933333333333333
Hazard-Inclusive,DecisionTree,8,0.5511111111111111,0.8666666666666667
Hazard-Inclusive,DecisionTree,9,0.48581915248581914,0.7567567567567568
Hazard-Inclusive,DecisionTree,10,0.6080808080808081,0.8133333333333334
Hazard-Inclusive,DecisionTree,11,0.6388888888888888,0.8533333333333334
Hazard-Inclusive,DecisionTree,12,0.5774011299435028,0.8666666666666667
Hazard-Inclusive,DecisionTree,13,0.7091013824884792,0.84
Hazard-Inclusive,DecisionTree,14,0.5297619047619048,0.7972972972972973
Hazard-Inclusive,DecisionTree,15,0.5986627335299901,0.8
Hazard-Inclusive,DecisionTree,16,0.49435832542444375,0.7466666666666667
Hazard-Inclusive,DecisionTree,17,0.5329566854990584,0.8533333333333334
Hazard-Inclusive,DecisionTree,18,0.6121361588113506,0.8266666666666667
Hazard-Inclusive,DecisionTree,19,0.6774011299435028,0.8648648648648649
Hazard-Inclusive,DecisionTree,20,0.5614950021729683,0.8533333333333334
Hazard-Inclusive,DecisionTree,21,0.5370370370370371,0.7866666666666666
Hazard-Inclusive,DecisionTree,22,0.6561314446354977,0.84
Hazard-Inclusive,DecisionTree,23,0.6544061302681993,0.8266666666666667
Hazard-Inclusive,DecisionTree,24,0.5607344632768362,0.8648648648648649
Hazard-Inclusive,RandomForest,0,0.5826140189776553,0.84
Hazard-Inclusive,RandomForest,1,0.6803133273288027,0.8933333333333333
Hazard-Inclusive,RandomForest,2,0.6580765639589169,0.84
Hazard-Inclusive,RandomForest,3,0.5944444444444444,0.8933333333333333
Hazard-Inclusive,RandomForest,4,0.7104288499025341,0.8918918918918919
Hazard-Inclusive,RandomForest,5,0.6652421652421653,0.88
Hazard-Inclusive,RandomForest,6,0.6377307072959247,0.8533333333333334
Hazard-Inclusive,RandomForest,7,0.6896057347670251,0.8933333333333333
Hazard-Inclusive,RandomForest,8,0.7469500196772924,0.8933333333333333
Hazard-Inclusive,RandomForest,9,0.5307621671258035,0.8513513513513513
Hazard-Inclusive,RandomForest,10,0.6963776963776964,0.9066666666666666
Hazard-Inclusive,RandomForest,11,0.7715060007742934,0.9066666666666666
Hazard-Inclusive,RandomForest,12,0.6193058918482647,0.8533333333333334
Hazard-Inclusive,RandomForest,13,0.7166666666666668,0.9066666666666666
Hazard-Inclusive,RandomForest,14,0.5812672176308541,0.8783783783783784
Hazard-Inclusive,RandomForest,15,0.7246376811594204,0.9066666666666666
Hazard-Inclusive,RandomForest,16,0.7254018941565,0.8933333333333333
Hazard-Inclusive,RandomForest,17,0.5444947209653092,0.8666666666666667
Hazard-Inclusive,RandomForest,18,0.6104377104377104,0.84
Hazard-Inclusive,RandomForest,19,0.5169779286926994,0.8513513513513513
Hazard-Inclusive,RandomForest,20,0.7356890896713906,0.88
Hazard-Inclusive,RandomForest,21,0.6709401709401709,0.8933333333333333
Hazard-Inclusive,RandomForest,22,0.6781420765027323,0.8666666666666667
Hazard-Inclusive,RandomForest,23,0.6180067655477491,0.84
Hazard-Inclusive,RandomForest,24,0.545933644747874,0.8783783783783784
Hazard-Inclusive,LogisticRegression,0,0.5723548482169172,0.8
Hazard-Inclusive,LogisticRegression,1,0.6334378265412748,0.8266666666666667
Hazard-Inclusive,LogisticRegression,2,0.5297937356760887,0.8
Hazard-Inclusive,LogisticRegression,3,0.7571121846484165,0.9066666666666666
Hazard-Inclusive,LogisticRegression,4,0.507496251874063,0.8108108108108109
Hazard-Inclusive,LogisticRegression,5,0.6095848595848596,0.8133333333333334
Hazard-Inclusive,LogisticRegression,6,0.5831767407871385,0.7466666666666667
Hazard-Inclusive,LogisticRegression,7,0.6297937356760887,0.84
Hazard-Inclusive,LogisticRegression,8,0.62953053387836,0.84
Hazard-Inclusive,LogisticRegression,9,0.45498525073746315,0.7567567567567568
Hazard-Inclusive,LogisticRegression,10,0.7235223424013985,0.8933333333333333
Hazard-Inclusive,LogisticRegression,11,0.5923961096374889,0.8666666666666667
Hazard-Inclusive,LogisticRegression,12,0.5147826086956522,0.8
Hazard-Inclusive,LogisticRegression,13,0.6130542679215245,0.8266666666666667
Hazard-Inclusive,LogisticRegression,14,0.6576289207868155,0.8378378378378378
Hazard-Inclusive,LogisticRegression,15,0.6427634967457977,0.8533333333333334
Hazard-Inclusive,LogisticRegression,16,0.5242165242165242,0.8133333333333334
Hazard-Inclusive,LogisticRegression,17,0.683176593521421,0.8533333333333334
Hazard-Inclusive,LogisticRegression,18,0.6030365769496204,0.8133333333333334
Hazard-Inclusive,LogisticRegression,19,0.5617925617925618,0.7702702702702703
Hazard-Inclusive,LogisticRegression,20,0.5489736070381231,0.8
Hazard-Inclusive,LogisticRegression,21,0.6522366522366522,0.8266666666666667
Hazard-Inclusive,LogisticRegression,22,0.5773862153172499,0.8266666666666667
Hazard-Inclusive,LogisticRegression,23,0.6266283524904215,0.8133333333333334
Hazard-Inclusive,LogisticRegression,24,0.6364920390344119,0.8648648648648649
Hazard-Inclusive,RidgeClassifier,0,0.557410868812738,0.7333333333333333
Hazard-Inclusive,RidgeClassifier,1,0.5502846299810247,0.72
Hazard-Inclusive,RidgeClassifier,2,0.5813664596273291,0.7866666666666666
Hazard-Inclusive,RidgeClassifier,3,0.7571121846484165,0.9066666666666666
Hazard-Inclusive,RidgeClassifier,4,0.680117994100295,0.8513513513513513
Hazard-Inclusive,RidgeClassifier,5,0.7592333592333592,0.88
Hazard-Inclusive,RidgeClassifier,6,0.5870098039215687,0.7333333333333333
Hazard-Inclusive,RidgeClassifier,7,0.6665024630541873,0.84
Hazard-Inclusive,RidgeClassifier,8,0.6023188405797101,0.8133333333333334
Hazard-Inclusive,RidgeClassifier,9,0.5466644014044625,0.7702702702702703
Hazard-Inclusive,RidgeClassifier,10,0.7218361218361219,0.8666666666666667
Hazard-Inclusive,RidgeClassifier,11,0.5623188405797102,0.8133333333333334
Hazard-Inclusive,RidgeClassifier,12,0.5172074729596853,0.7866666666666666
Hazard-Inclusive,RidgeClassifier,13,0.6183452732125297,0.8266666666666667
Hazard-Inclusive,RidgeClassifier,14,0.6467281510759771,0.8108108108108109
Hazard-Inclusive,RidgeClassifier,15,0.6594599525634008,0.8666666666666667
Hazard-Inclusive,RidgeClassifier,16,0.6506807202459376,0.84
Hazard-Inclusive,RidgeClassifier,17,0.7074074074074074,0.84
Hazard-Inclusive,RidgeClassifier,18,0.5803880613422745,0.8
Hazard-Inclusive,RidgeClassifier,19,0.5388058866319736,0.7567567567567568
Hazard-Inclusive,RidgeClassifier,20,0.6929851510496672,0.8133333333333334
Hazard-Inclusive,RidgeClassifier,21,0.6818043808284537,0.8133333333333334
Hazard-Inclusive,RidgeClassifier,22,0.5916286611938786,0.8133333333333334
Hazard-Inclusive,RidgeClassifier,23,0.671092796092796,0.84
Hazard-Inclusive,RidgeClassifier,24,0.5936147186147186,0.8108108108108109
Hazard-Inclusive,LinearSVC,0,0.562355186043342,0.8
Hazard-Inclusive,LinearSVC,1,0.5635432667690732,0.7466666666666667
Hazard-Inclusive,LinearSVC,2,0.6505392912172573,0.84
Hazard-Inclusive,LinearSVC,3,0.7571121846484165,0.9066666666666666
Hazard-Inclusive,LinearSVC,4,0.5216572504708098,0.8108108108108109
Hazard-Inclusive,LinearSVC,5,0.7423139954113406,0.8933333333333333
Hazard-Inclusive,LinearSVC,6,0.6526234567901233,0.8
Hazard-Inclusive,LinearSVC,7,0.680265120943087,0.8533333333333334
Hazard-Inclusive,LinearSVC,8,0.6260683760683761,0.84
Hazard-Inclusive,LinearSVC,9,0.5451092117758783,0.7702702702702703
Hazard-Inclusive,LinearSVC,10,0.7641941391941393,0.8933333333333333
Hazard-Inclusive,LinearSVC,11,0.5655172413793104,0.8266666666666667
Hazard-Inclusive,LinearSVC,12,0.5445977011494253,0.8266666666666667
Hazard-Inclusive,LinearSVC,13,0.6292167199608216,0.84
Hazard-Inclusive,LinearSVC,14,0.6602446483180429,0.8108108108108109
Hazard-Inclusive,LinearSVC,15,0.6377307072959247,0.8533333333333334
Hazard-Inclusive,LinearSVC,16,0.603988603988604,0.84
Hazard-Inclusive,LinearSVC,17,0.7376623376623376,0.8666666666666667
Hazard-Inclusive,LinearSVC,18,0.6088336783988958,0.8266666666666667
Hazard-Inclusive,LinearSVC,19,0.6327894327894327,0.7972972972972973
Hazard-Inclusive,LinearSVC,20,0.560960960960961,0.8133333333333334
Hazard-Inclusive,LinearSVC,21,0.6636788639319483,0.8266666666666667
Hazard-Inclusive,LinearSVC,22,0.5997228658398074,0.8133333333333334
Hazard-Inclusive,LinearSVC,23,0.6129531388152077,0.8266666666666667
Hazard-Inclusive,LinearSVC,24,0.6249191421605215,0.8513513513513513
Hazard-Inclusive,XGBoost,0,0.5202444614209321,0.8266666666666667
Hazard-Inclusive,XGBoost,1,0.6610275689223056,0.88
Hazard-Inclusive,XGBoost,2,0.7132275132275132,0.88
Hazard-Inclusive,XGBoost,3,0.6040851803563668,0.9066666666666666
Hazard-Inclusive,XGBoost,4,0.6912425692329999,0.8783783783783784
Hazard-Inclusive,XGBoost,5,0.6709401709401709,0.8933333333333333
Hazard-Inclusive,XGBoost,6,0.6189539729362737,0.84
Hazard-Inclusive,XGBoost,7,0.7146666666666667,0.9066666666666666
Hazard-Inclusive,XGBoost,8,0.6953137936744495,0.8933333333333333
Hazard-Inclusive,XGBoost,9,0.521025641025641,0.8378378378378378
Hazard-Inclusive,XGBoost,10,0.7095465739533536,0.9066666666666666
Hazard-Inclusive,XGBoost,11,0.7468639629764949,0.9066666666666666
Hazard-Inclusive,XGBoost,12,0.5235966219572777,0.8533333333333334
Hazard-Inclusive,XGBoost,13,0.736179981634527,0.9333333333333333
Hazard-Inclusive,XGBoost,14,0.5607344632768362,0.8648648648648649
Hazard-Inclusive,XGBoost,15,0.686904761904762,0.8666666666666667
Hazard-Inclusive,XGBoost,16,0.6727743271221532,0.8933333333333333
Hazard-Inclusive,XGBoost,17,0.5747126436781609,0.8933333333333333
Hazard-Inclusive,XGBoost,18,0.6311635189978589,0.8666666666666667
Hazard-Inclusive,XGBoost,19,0.5282331511839709,0.8513513513513513
Hazard-Inclusive,XGBoost,20,0.7285714285714286,0.88
Hazard-Inclusive,XGBoost,21,0.665038665038665,0.88
Hazard-Inclusive,XGBoost,22,0.6096012388695315,0.8666666666666667
Hazard-Inclusive,XGBoost,23,0.6406926406926408,0.8533333333333334
Hazard-Inclusive,XGBoost,24,0.5867768595041323,0.8918918918918919
